event_label,regatta_name,world_sailing_id,start_date,end_date,venue,source_url,rank,country,country_name,crew,world_sailing_ids,sail_number,total_points,net_points,1Q(CR),2Q(CR),3Q(CR),4Q(CR),5Q(CR),6Q(CR),7Q(CR),8Q(CR),9F(CR),10F(CR),11F(CR),12F(CR),13F(SL),14F(SL),15F(SL),16F(SL),17F(CR),18F(CR),MR(pos)
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,25,POL,Poland,Pawel Tarnowski,POLPT4,,386,208,11,10,3,(23),21,9,(58) DNC,11,16,(58) DNC,14,15,7,21,(39) BFD,9,38,23,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,26,ISR,Israel,Yoav Omer,ISRYO2,,322,209,(19),6,9,8,10,13,(21),14,27,(37),29,(36),9,11,7,27,25,14,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,27,POL,Poland,Michal Polak,POLMP22,,401,222,(24),14,19,15,3,4,15,(58) DNC,14,21,32,(58) DNC,(39) BFD,21,21,3,21,19,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,28,ISR,Israel,Yoav Cohen,ISRYC2,,331,227,(18),3,9,6,10,7,(13),5,31 SCP,22 SCP,29 SCP,(33) SCP,19,25,21,17,23,(40),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,29,ITA,Italy,Luca di Tomassi,ITALD70,,376,227,(27),24,12,18,8,(28),7,22,(58) BFD,14,28,19,21,5,15,13,(36),21,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,30,GBR,Great Britain,Mathew Barton,GBRMB124,,368,230,(24),13,15,8,(24),18,9,23,21,27,(48),31,39 BFD,7,11,5,3,(42),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,31,GBR,Great Britain,Finn Hawkins,GBRFH10,,384,246,9,8,(17),14,(34),14,9,14,30,31,(50),30,3,29,15,(37),22,18,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,32,NED,Netherlands,Max Castelein,NEDMC7,,370,248,17,12,(41),10,18,(20),18,12,25,24,15,(29),29,13,27,19,9,(32),-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,33,LTU,Lithuania,Rytis Jasiunas,LTURJ1,,399,265,12,(28),20,1,23,19,(25),16,(42),25,19,33,1,27,(39) BFD,11,34,24,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,34,ESP,Spain,Tomas Vieito,ESPTV1,,399.7,273.7,16,16,(19),11,(19),13.7 RDG,11,10,29,(42),34,26,13,5,39 BFD,19 RDG,(46),31,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,35,NZL,New Zealand,Patrick Morgan Brian Haybittle,NZLPH2,,414.3,282.3,16,(30),8,9,19,22,28,(30),28,30,25,27,(39) BFD,32.3 RDG,25,(33),4,9,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,36,NZL,New Zealand,Elijah Liefting,NZLEL2,,435,287,14,(19),18,(22),17,12,12,11,(58) BFD,(49),22,40,27,9,33,25,17,30,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,37,POL,Poland,Kamil Manowiecki,POLKM23,,438,300,15,21,22,(29),14,17,(28),21,(38),32,(43),25,15,25,13,13,29,38,-
IQFOiL Men,iQFOiL European Championships,ITA202205LJG,2023-05-08,2023-05-14,"Patras, Greece",https://sailing.org/regatta/iqfoil-european-championships?ref=ITA202205LJG,38,CHN,"China, PR",Kun Bi,CHNKB1,,458,304,23,(33),23,21,(33),22,16,28,23,33,(49),(39),15,15,15,7,24,39,-
